producto,marca,categoria,codigo_barras,presentacion,factor_unidades,precio,stock_inicial
220 original sabor fresa 450 ml,220,Bebidas,24474008003,Unidad,1,2.0,0
360 Energy Drink 450 ml,360,Bebidas,7751731004630,Unidad,1,3.0,0
360 Energy Drink Maracuya 300 ml,360,Bebidas,7751731006467,Unidad,1,2.0,0
360 Energy Drink Original 300 ml,360,Bebidas,7751731002971,Unidad,1,2.0,0
360 Energy Gamer 300 ml.,360,Bebidas,7751731006559,Unidad,1,2.0,0
3XXX Maracuya  1.8 L,3XXX,Bebidas,7753194000310,Unidad,1,12.0,2
7 cereales a granel x kg,Genérico,Abarrotes,7751234013177,Unidad,1,5.0,11
Ablanda Sazon ajinomix 11 g,Ajinomoto,Abarrotes,,Unidad,1,0.8,0
Absolut Vodka clasico 700 ml,Absolut,Licores y Cervezas,7312040017010,Unidad,1,56.0,0
ACEITE COCINERO VEGETAL DE SOYA 900 ML,Cocinero,Abarrotes,7750243079310,Unidad,1,9.5,0
Aceite de Ajonjoli Oriental 70 cc,Genérico,Abarrotes,,Unidad,1,3.5,0
ACEITE DE OLIVA EXTRA VIRGEN LA AREQUIPEÑITA 250 ML,La Arequipeñita,Abarrotes,7732546732543,Unidad,1,14.5,0
Aceite Metro 900 ml,Metro,Abarrotes,2050043570433,Unidad,1,6.5,0
Aceite Mirasol Vegetal de soya 200 ml,Mirasol,Abarrotes,7750243073189,Unidad,1,2.5,0
ACEITE MIRASOL VEGETAL DE SOYA 900 ML,Mirasol,Abarrotes,7750243066495,Unidad,1,7.5,0
ACEITE PRIMOR CLASICO 500 ML,Primor,Abarrotes,7750243072939,Unidad,1,5.8,0
Aceite Primor Clásico 900 ml,Primor,Abarrotes,7750243068000,Unidad,1,10.5,0
Aceite Primor Premium 900 ml,Primor,Abarrotes,7750243067997,Unidad,1,11.0,0
Aceite Vegetal Bells x 900 ml,Bells,Abarrotes,7891080136276,Unidad,1,6.0,0
ACEITE VEGETAL CIL 500 ML,Cil,Abarrotes,7750243033954,Unidad,1,5.5,0
Aceituna Negra a granel x kg,Genérico,Frutas y Verduras,7751234013290,Unidad,1,25.0,0
Aceituna rellena con rocoto 215 gr,Genérico,Frutas y Verduras,7759334000691,Unidad,1,6.0,0
Aceitunesa walibi 200 g,Walibi,Abarrotes,7752187000351,Unidad,1,6.5,0
Acondicionador Hidratante Amaras FCO (NO USAR),Amaras,Cuidado Personal,7750243073905,Unidad,1,0.0,0
Acondicionador Reparacion Pantene 18 ml,Pantene,Cuidado Personal,7500435153683,Unidad,1,1.0,0
Acondicionador Seda Liquida Konzil x 20 ml,Konzil,Cuidado Personal,7702029041578,Unidad,1,1.0,0
Aderezo Pavo 2 Banderas 300 gr,Genérico,Abarrotes,7751761000039,Unidad,1,8.5,2
Agua 20 lt,Genérico,Bebidas,,Unidad,1,25.0,0
Agua Alalau Bot. 7 lt,Alalau,Bebidas,,Unidad,1,5.5,0
AGUA MINERAL CON GAS SOCOSANI 1.5 L,Socosani,Bebidas,7755224000307,Unidad,1,4.5,0
Agua Pura Vida  3lt,Pura Vida,Bebidas,7751271018203,Unidad,1,3.0,0
Agua Pura Vida 650 ml,Pura Vida,Bebidas,7751271036146,Unidad,1,1.0,0
Agua San Carlos s/gas 750 ml,San Carlos,Bebidas,7401005909450,Unidad,1,1.0,0
AGUA SAN LUIS C/GAS 625 ML,San Luis,Bebidas,7750182001199,Unidad,1,2.0,0
Agua San Luis Piña/Kion 625 ml,San Luis,Bebidas,7750182006965,Unidad,1,1.8,0
Agua San Luis s/gas 2.5 L,San Luis,Bebidas,7750298000727,Unidad,1,3.5,0
AGUA SAN LUIS SIN GAS 750 ML,San Luis,Bebidas,7750182007269,Unidad,1,1.5,0
AGUA SAN LUIS SIN GAS CHUPON 1 L,San Luis,Bebidas,7750182001229,Unidad,1,2.5,0
AGUA SAN LUIS TAPA PLANA 1 L,San Luis,Bebidas,7750182005685,Unidad,1,2.0,0
Agua Socosani  SIN/G  500 ml,Socosani,Bebidas,7755224000291,Unidad,1,1.5,0
Agua Socosani c/gas x 1 lt,Socosani,Bebidas,7755224000604,Unidad,1,3.0,0
Agua Tonica Backus 2 Lt,Backus,Bebidas,7753749002226,Unidad,1,8.0,0
AGUA TONICA EVERVESS 1.5 L,Evervess,Bebidas,7758792000090,Unidad,1,7.5,0
agujas ruedita,Genérico,Bazar y Otros,,Unidad,1,1.5,14
agujas x unidad,Genérico,Bazar y Otros,,Unidad,1,0.1,0
Airampo sobre SM 1 und,Genérico,Abarrotes,,Unidad,1,1.0,10
Aji amarillo Batan 32 g,Batán,Abarrotes,7750552000883,Unidad,1,1.2,0
ají amarillo fresco,Genérico,Abarrotes,,Unidad,1,4.5,0
